Data;Hora;Open;Hight;Low;Close;Tick;Volume;;;;;;;;
2019.06.06;16:15;394.200.000;394.200.000;394.200.000;394.200.000;1;5;2019.06.06;16:15;394.200.000;394.200.000;394.200.000;394.200.000;1;5
2019.06.06;16:19;394.200.000;394.200.000;394.200.000;394.200.000;1;7;2019.06.06;16:19;394.200.000;394.200.000;394.200.000;394.200.000;1;7
2019.06.07;12:40;391.950.000;391.950.000;391.950.000;391.950.000;1;6;2019.06.07;12:40;391.950.000;391.950.000;391.950.000;391.950.000;1;6
2019.06.12;15:06;390.150.000;390.150.000;390.150.000;390.150.000;1;1;2019.06.12;15:06;390.150.000;390.150.000;390.150.000;390.150.000;1;1
2019.06.12;15:11;390.200.000;390.200.000;390.200.000;390.200.000;1;6;2019.06.12;15:11;390.200.000;390.200.000;390.200.000;390.200.000;1;6
2019.06.12;15:13;390.100.000;390.100.000;390.100.000;390.100.000;1;3;2019.06.12;15:13;390.100.000;390.100.000;390.100.000;390.100.000;1;3
2019.06.13;17:20;391.250.000;391.250.000;391.250.000;391.250.000;1;6;2019.06.13;17:20;391.250.000;391.250.000;391.250.000;391.250.000;1;6
2019.06.14;10:19;393.450.000;393.450.000;393.450.000;393.450.000;1;9;2019.06.14;10:19;393.450.000;393.450.000;393.450.000;393.450.000;1;9
2019.06.14;10:20;393.100.000;393.200.000;393.100.000;393.200.000;2;22;2019.06.14;10:20;393.100.000;393.200.000;393.100.000;393.200.000;2;22
2019.06.14;14:28;393.600.000;393.600.000;393.600.000;393.600.000;1;4;2019.06.14;14:28;393.600.000;393.600.000;393.600.000;393.600.000;1;4
2019.06.14;14:31;395.250.000;395.250.000;395.250.000;395.250.000;1;1;2019.06.14;14:31;395.250.000;395.250.000;395.250.000;395.250.000;1;1
2019.06.17;16:46;395.800.000;395.800.000;395.800.000;395.800.000;1;13;2019.06.17;16:46;395.800.000;395.800.000;395.800.000;395.800.000;1;13
2019.06.17;17:50;394.800.000;394.800.000;394.800.000;394.800.000;1;5;2019.06.17;17:50;394.800.000;394.800.000;394.800.000;394.800.000;1;5
2019.06.18;14:30;391.700.000;391.700.000;391.700.000;391.700.000;1;12;2019.06.18;14:30;391.700.000;391.700.000;391.700.000;391.700.000;1;12
2019.06.18;16:18;391.550.000;391.550.000;391.550.000;391.550.000;1;8;2019.06.18;16:18;391.550.000;391.550.000;391.550.000;391.550.000;1;8
2019.06.19;12:09;393.150.000;393.150.000;393.150.000;393.150.000;1;6;2019.06.19;12:09;393.150.000;393.150.000;393.150.000;393.150.000;1;6
2019.06.21;09:27;390.450.000;390.450.000;390.450.000;390.450.000;1;6;2019.06.21;09:27;390.450.000;390.450.000;390.450.000;390.450.000;1;6
2019.06.24;11:14;388.200.000;388.200.000;388.200.000;388.200.000;1;4;2019.06.24;11:14;388.200.000;388.200.000;388.200.000;388.200.000;1;4
2019.06.24;11:16;387.600.000;387.600.000;387.600.000;387.600.000;1;4;2019.06.24;11:16;387.600.000;387.600.000;387.600.000;387.600.000;1;4
2019.06.24;14:26;387.700.000;387.700.000;387.700.000;387.700.000;1;7;2019.06.24;14:26;387.700.000;387.700.000;387.700.000;387.700.000;1;7
2019.06.24;14:28;387.800.000;387.800.000;387.800.000;387.800.000;1;7;2019.06.24;14:28;387.800.000;387.800.000;387.800.000;387.800.000;1;7
2019.06.25;09:28;388.850.000;388.850.000;388.850.000;388.850.000;1;3;2019.06.25;09:28;388.850.000;388.850.000;388.850.000;388.850.000;1;3
2019.06.25;11:41;388.850.000;388.850.000;388.850.000;388.850.000;1;3;2019.06.25;11:41;388.850.000;388.850.000;388.850.000;388.850.000;1;3
2019.06.25;12:32;388.950.000;388.950.000;388.950.000;388.950.000;1;20;2019.06.25;12:32;388.950.000;388.950.000;388.950.000;388.950.000;1;20
2019.06.25;12:43;387.800.000;387.800.000;387.800.000;387.800.000;1;13;2019.06.25;12:43;387.800.000;387.800.000;387.800.000;387.800.000;1;13
2019.06.25;12:49;388.150.000;388.150.000;388.150.000;388.150.000;1;14;2019.06.25;12:49;388.150.000;388.150.000;388.150.000;388.150.000;1;14
2019.06.25;12:53;388.650.000;388.650.000;388.650.000;388.650.000;1;4;2019.06.25;12:53;388.650.000;388.650.000;388.650.000;388.650.000;1;4
2019.06.25;13:41;390.050.000;390.050.000;390.050.000;390.050.000;1;10;2019.06.25;13:41;390.050.000;390.050.000;390.050.000;390.050.000;1;10
2019.06.25;13:55;390.100.000;390.100.000;390.100.000;390.100.000;1;50;2019.06.25;13:55;390.100.000;390.100.000;390.100.000;390.100.000;1;50
2019.06.25;13:56;390.100.000;390.100.000;390.100.000;390.100.000;1;12;2019.06.25;13:56;390.100.000;390.100.000;390.100.000;390.100.000;1;12
2019.06.25;15:49;391.000.000;391.000.000;391.000.000;391.000.000;1;9;2019.06.25;15:49;391.000.000;391.000.000;391.000.000;391.000.000;1;9
