Data,Open,Hight,Low,Close,Ticks,Volume
2019-08-19,413350000,413350000,413350000,413350000,1,4
2019-08-21,409400000,409400000,409400000,409400000,1,13
2019-08-21,408500000,408500000,408500000,408500000,1,17
2019-08-22,411150000,411150000,411150000,411150000,1,8
2019-08-26,418450000,418450000,418050000,418100000,5,66
2019-08-26,420850000,420850000,420850000,420850000,1,25
2019-08-27,420400000,421900000,420400000,421900000,2,18
2019-08-27,421650000,421650000,421650000,421650000,2,7
2019-08-28,422500000,422500000,422500000,422500000,1,12
2019-08-28,422150000,422150000,422150000,422150000,1,9
2019-08-30,419100000,419100000,419100000,419100000,4,72
2019-08-30,419500000,419500000,419500000,419500000,1,24
2019-09-02,424600000,424600000,424600000,424600000,1,24
2019-09-03,424100000,424100000,424100000,424100000,2,48
2019-09-04,418100000,418100000,418100000,418100000,1,5
2019-09-05,413750000,413750000,413750000,413750000,1,2
2019-09-05,413650000,413650000,413650000,413650000,1,3
2019-09-05,414800000,414900000,414750000,414750000,3,9
2019-09-05,415400000,415400000,415400000,415400000,1,8
2019-09-06,412700000,412700000,412700000,412700000,2,80
2019-09-06,411800000,411800000,411800000,411800000,1,61
2019-09-06,411700000,411700000,411700000,411700000,1,16
2019-09-06,411750000,411750000,411750000,411750000,1,4
2019-09-09,413450000,414650000,413450000,414650000,2,11
2019-09-09,415100000,415100000,415100000,415100000,1,33
2019-09-09,415100000,415100000,415100000,415100000,1,46
2019-09-09,415450000,415450000,415450000,415450000,1,12
2019-09-10,417650000,417650000,417650000,417650000,1,2
2019-09-10,415000000,415000000,415000000,415000000,1,14
2019-09-10,415000000,415000000,415000000,415000000,2,7
2019-09-11,412000000,412000000,412000000,412000000,1,1
2019-09-11,411600000,411600000,411600000,411600000,1,8
2019-09-11,411800000,411800000,411800000,411800000,1,37
2019-09-11,411600000,411600000,411600000,411600000,1,6
2019-09-12,409350000,409350000,409350000,409350000,1,5
2019-09-12,411800000,411800000,411800000,411800000,1,6
2019-09-12,411100000,411100000,411100000,411100000,1,2
2019-09-13,411000000,411000000,411000000,411000000,1,6
2019-09-13,411900000,411900000,411600000,411600000,2,25
2019-09-16,413100000,413100000,413100000,413100000,1,3
2019-09-16,413100000,413100000,413100000,413100000,1,7
2019-09-16,413400000,413400000,413400000,413400000,3,97
2019-09-17,414950000,415250000,414950000,415100000,4,55
2019-09-17,413500000,413500000,413500000,413500000,1,11
2019-09-18,413600000,413800000,413600000,413700000,3,38
2019-09-18,414400000,414400000,414150000,414150000,2,78
2019-09-18,413150000,413150000,413050000,413050000,2,19
2019-09-19,418400000,418400000,418400000,418400000,1,24
2019-09-19,417350000,417900000,417350000,417900000,2,33
2019-09-19,418600000,418700000,418600000,418700000,2,10
2019-09-20,421300000,421300000,421300000,421300000,1,97
2019-09-20,421750000,422000000,421750000,422000000,3,55
2019-09-20,421000000,421000000,421000000,421000000,1,14
2019-09-20,420300000,420300000,420300000,420300000,1,24
2019-09-23,421300000,421300000,421300000,421300000,1,40
2019-09-23,420650000,420650000,420650000,420650000,1,10
2019-09-24,421700000,421700000,421700000,421700000,1,12
2019-09-24,421700000,421700000,421700000,421700000,1,4
2019-09-25,423100000,423100000,423100000,423100000,1,8
2019-09-25,422000000,422000000,421600000,421600000,2,24
2019-09-25,421000000,421000000,421000000,421000000,1,21
2019-09-25,419600000,419600000,419600000,419600000,1,15
