Data,Open,Hight,Low,Close,Ticks,Volume
2015.02.02,2696,2750,2687,2746,29073,50407
2015.02.03,2736,2740,2707,2714,37194,65844
2015.02.04,2723,2767,2712,2760,30108,53285
2015.02.05,2748,2779,2739,2761,31759,56231
2015.02.06,2759,2800,2757,2796,34462,62485
2015.02.09,2801,2812,2784,2788,28469,49348
2015.02.10,2792,2853,2791,2844,37183,72545
2015.02.11,2860,2895,2859,2881,44187,82362
2015.02.12,2872,2890,2828,2828,42175,77107
2015.02.13,2841,2869,2825,2847,33474,58929
2015.02.18,2852,2860,2836,2845,15870,27516
2015.02.19,2851,2877,2846,2876,28777,52423
2015.02.20,2870,2892,2861,2876,32100,57938
2015.02.23,2892,2909,2868,2884,32459,60033
2015.02.24,2884,2895,2829,2830,37945,69458
2015.02.25,2860,2888,2843,2874,40014,74871
2015.02.26,2860,2910,2843,2907,49480,93715
2015.02.27,2930,2948,2864,2866,52059,90854
2015.03.02,2889,2924,2879,2921,34886,63028
2015.03.03,2924,2961,2917,2957,43586,79690
2015.03.04,2993,3025,2975,3004,52752,104604
2015.03.05,3006,3047,3003,3028,53202,101224
2015.03.06,3034,3097,3007,3088,65443,125356
2015.03.09,3083,3155,3080,3145,57467,109516
2015.03.10,3189,3195,3110,3123,75184,126608
2015.03.11,3115,3160,3103,3147,77864,136800
2015.03.12,3115,3190,3094,3184,60159,111570
2015.03.13,3222,3297,3198,3267,93886,158983
2015.03.16,3278,3279,3222,3260,64649,109976
2015.03.17,3259,3299,3239,3254,72844,129852
2015.03.18,3248,3293,3203,3225,82617,146052
2015.03.19,3251,3318,3248,3306,81922,142981
2015.03.20,3292,3328,3211,3240,84780,151578
2015.03.23,3224,3233,3139,3146,71373,125374
2015.03.24,3126,3180,3099,3147,89861,161921
2015.03.25,3180,3210,3122,3209,86117,145753
2015.03.26,3216,3228,3177,3186,92617,158818
2015.03.27,3190,3253,3182,3252,69593,115502
2015.03.30,3270,3292,3209,3229,71537,118209
2015.03.31,3279,3294,3190,3221,80227,143137
2015.04.01,3194,3218,3157,3191,76356,125881
2015.04.02,3191,3210,3142,3155,72083,116686
2015.04.06,3110,3152,3106,3150,52350,90474
2015.04.07,3150,3169,3131,3150,63548,115006
2015.04.08,3136,3136,3063,3063,74391,131908
2015.04.09,3057,3094,3042,3076,75457,126785
2015.04.10,3091,3113,3088,3098,63485,106205
2015.04.13,3113,3146,3102,3144,63155,105763
2015.04.14,3132,3137,3072,3078,62892,106593
2015.04.15,3095,3109,3040,3043,74852,128529
2015.04.16,3020,3055,3011,3035,73386,127399
2015.04.17,3028,3083,3016,3057,77353,135466
2015.04.20,3065,3069,3032,3044,60542,105064
2015.04.22,3038,3045,3005,3020,54750,92572
2015.04.23,3013,3039,2975,2976,64992,112053
2015.04.24,2979,2996,2956,2957,52445,90225
2015.04.27,2952,2965,2905,2921,59180,102873
2015.04.28,2903,2947,2885,2939,64831,109474
2015.04.29,2954,2967,2916,2960,90972,168751
2015.04.30,2970,3049,2970,3044,80950,140041
2015.05.04,3104,3125,3087,3115,54099,92865
2015.05.05,3110,3119,3071,3084,68440,115276
2015.05.06,3097,3102,3051,3059,64537,116614
2015.05.07,3059,3087,3039,3051,70441,121681
2015.05.08,3048,3067,2994,2994,67822,119513
2015.05.11,3002,3084,2995,3081,66066,118724
2015.05.12,3075,3097,3032,3038,68084,119754
2015.05.13,3029,3062,3000,3058,70094,126478
2015.05.14,3058,3060,3006,3007,66398,120106
2015.05.15,3020,3030,2985,3011,57602,102071
2015.05.18,3020,3043,3008,3018,51820,91851
2015.05.19,3030,3057,3016,3053,61471,110949
2015.05.20,3054,3056,3009,3012,68357,119454
2015.05.21,3014,3055,3008,3046,55761,96697
2015.05.22,3046,3106,3040,3101,53395,97857
2015.05.25,3118,3140,3102,3104,32361,55771
2015.05.26,3122,3161,3117,3160,58188,102577
2015.05.27,3156,3189,3142,3144,66949,114039
2015.05.28,3158,3193,3152,3166,81082,149461
2015.05.29,3195,3228,3170,3214,68129,113160
2015.06.01,3230,3246,3191,3196,61608,101237
2015.06.02,3183,3191,3157,3161,61598,106157
2015.06.03,3165,3175,3133,3162,62868,116878
2015.06.05,3175,3215,3127,3171,67008,122495
2015.06.08,3167,3168,3133,3137,55276,98616
2015.06.09,3133,3141,3115,3121,53372,94020
2015.06.10,3100,3141,3085,3140,63818,121218
2015.06.11,3175,3191,3106,3109,74273,142236
2015.06.12,3124,3148,3112,3140,62273,110196
2015.06.15,3149,3156,3112,3145,55799,97255
2015.06.16,3150,3157,3102,3104,57895,101089
2015.06.17,3111,3119,3065,3071,73128,139203
2015.06.18,3065,3077,3043,3072,63605,115517
2015.06.19,3084,3114,3067,3108,58636,105003
2015.06.22,3106,3109,3077,3088,51343,94308
2015.06.23,3101,3124,3081,3081,62446,121398
2015.06.24,3078,3109,3071,3104,55292,108520
2015.06.25,3102,3138,3087,3132,74134,145362
2015.06.26,3146,3148,3121,3130,56801,104927
2015.06.29,3148,3154,3108,3118,66089,126621
2015.06.30,3161,3162,3123,3137,63404,124865
2015.07.01,3140,3185,3133,3182,54678,105152
2015.07.02,3189,3191,3126,3131,56364,108534
2015.07.03,3144,3174,3139,3163,33545,69300
2015.07.06,3182,3185,3160,3168,51566,96868
2015.07.07,3183,3229,3183,3216,68972,136705
2015.07.08,3218,3270,3216,3263,71575,138504
2015.07.10,3218,3227,3181,3181,60228,115459
2015.07.13,3189,3200,3152,3158,61641,114623
2015.07.14,3150,3163,3135,3159,51145,102908
2015.07.15,3158,3184,3148,3159,62716,125233
2015.07.16,3165,3179,3146,3176,63936,127774
2015.07.17,3170,3219,3168,3206,65252,130342
2015.07.20,3214,3239,3204,3209,62750,126874
2015.07.21,3202,3214,3176,3185,63703,128046
2015.07.22,3205,3246,3196,3234,63641,135442
2015.07.23,3259,3309,3257,3294,89093,199153
2015.07.24,3332,3365,3319,3363,81670,177159
2015.07.27,3376,3389,3353,3371,66545,147979
