,Datetime,Tweet Id,Text,Username,Text PT 1 Parcial,Text PT 2 final
0,2016-12-31 23:59:34+00:00,815346692216291328,A mi el dolar no me afecta porque de todos modos no iba a estrenar.,jjmalaguera,To me the dollar does not affect me because anyway it was not brand new.,To me the dollar does not affect me because anyway it was not brand new.
1,2016-12-31 23:58:17+00:00,815346369359708160,"Gostei de um vídeo @YouTube de @jully_cherry https://t.co/jLI6Klx1U3 50 Coisas no Aliexpress por menos de 1,00 dólar com frete",PirucaV,"I liked a video @youtube of @jully_cherry https://t.co/jli6klx1u3 50 things on AliExpress for less than 1,00 dollar with freight","I liked a video @youtube of @jully_cherry https://t.co/jli6klx1u3 50 things on AliExpress for less than 1,00 dollar with freight"
2,2016-12-31 23:58:05+00:00,815346320756109313,"""'Dolar'ın 3,50-3,20 seviyelerine geri çekilmesi mümkün'""   #gündem #güncel #haber #news #türkiye www.sahibin... https://t.co/zY2deyskW7",724ensonhaber,"""'The dollar is able to withdraw to 3,50-3.20 levels' # # 5 # of agenda #teen #news #ww.sahibin Turkey ... https://t.co/zy2deyskw7","""'The dollar is able to withdraw to 3,50-3.20 levels' # # 5 # of agenda #teen #news #ww.sahibin Turkey ... https://t.co/zy2deyskw7"
3,2016-12-31 23:57:54+00:00,815346273901576194,@icmp_0 @Madzelo ya no hablan de dólar atrasado y que es otro producto de la economía que debe acompañar a la inflación. Magia.,adiospipino,@ ICMP_0 @Madzelo no longer speak of delayed dollar and that it is another product of the economy that must accompany inflation. Magic.,@ ICMP_0 @Madzelo no longer speak of delayed dollar and that it is another product of the economy that must accompany inflation. Magic.
4,2016-12-31 23:57:06+00:00,815346070771421185,@_ktyGarcia cuantos dan por el dolar?,Alex10Godoy,@_ktygarcia how many give for the dollar?,@_ktygarcia how many give for the dollar?
5,2016-12-31 23:56:59+00:00,815346040996040704,@mariaelena_sh Dólar.,danielgmar,@mariawena_sh dólar.,@mariawena_sh dólar.
6,2016-12-31 23:55:51+00:00,815345758962647040,@adiospipino @Madzelo Tampoco entendí lo del dólar estable. Empezó el año en 13 y ya pasó los 16.,icmp_0,@Adiospipino @Madzelo I did not understand the stable dollar either. He began the year in 13 and passed the 16.,@Adiospipino @Madzelo I did not understand the stable dollar either. He began the year in 13 and passed the 16.
7,2016-12-31 23:53:41+00:00,815345213698752512,@ladriguruok dolar y comprar pesos uru con los dolares.,sbassi,@LadrigoruoBo Dollar and buy Uru pesos with the dollars.,@LadrigoruoBo Dollar and buy Uru pesos with the dollars.
8,2016-12-31 23:53:29+00:00,815345162398433281,#elinsurgente El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/KqGTBPWAeN  #MeChocaQue,NaomiGranado,#elinsurgent the strong dollar will benefit dental tourism in mexico https://t.co/kqgtbpwaen #mechococaque,#elinsurgent the strong dollar will benefit dental tourism in mexico https://t.co/kqgtbpwaen #mechococaque
9,2016-12-31 23:53:26+00:00,815345148762660864,@partydafer fernandynha feliz ano novo miga muita saúde muito dólar e menos olho gordo pra cima do teu macho bjs bestie https://t.co/6fHCt54N3Z,xpeehdroox,@partydaafer fernandynha happy new year miga lots of health lots dollar and less fat eye on top of your male bjs bestie https://t.co/6FHCT54N3Z,@partydaafer fernandynha happy new year miga lots of health lots dollar and less fat eye on top of your male bjs bestie https://t.co/6FHCT54N3Z
10,2016-12-31 23:53:15+00:00,815345102340190208,Karşımda görsem dolar gözlerim,esraydn14,I see dollars if I see me,I see dollars if I see me
11,2017-01-01 23:55:03+00:00,815707941630341120,"Con el precio del dólar, vean las opciones que habrá para festivalear en México este año: https://t.co/Pn2sO6L4Mr https://t.co/URo4PEzNg2",FILTERMexico,"With the price of the dollar, see the options that will be for festival in Mexico this year: https://t.co/pn2so6l4mr https://t.co/uro4pezng2","With the price of the dollar, see the options that will be for festival in Mexico this year: https://t.co/pn2so6l4mr https://t.co/uro4pezng2"
12,2017-01-01 23:54:16+00:00,815707746368503808,"Por dólar caro, las tiendas de Tucson se ponen las pilas con ofertas @VamosaTucson @InformativoET https://t.co/4kjU6NLBqV",theHyggeFoodie,"For Caro Dollar, Tucson stores put the batteries with offers @Vamosatucon @InFormathet https://t.co/4kju6nlbqv","For Caro Dollar, Tucson stores put the batteries with offers @Vamosatucon @InFormathet https://t.co/4kju6nlbqv"
13,2017-01-01 23:53:06+00:00,815707454323458049,elemprendedorve: Los lentes de un dólar que revolucionaron África + fotos https://t.co/qJ4Nhh0wB8 https://t.co/RnFLzLBotQ,JesusCasiqueM,,Elemprendorve: One dollar lenses revolutionized Africa + Photos https://t.co/qj4nhh0wb8 https://t.co/rnflzlbotq
