,Datetime,Tweet Id,Text,Username
0,2016-12-31 23:59:34+00:00,815346692216291328,A mi el dolar no me afecta porque de todos modos no iba a estrenar.,jjmalaguera
1,2016-12-31 23:58:17+00:00,815346369359708160,"Gostei de um vídeo @YouTube de @jully_cherry https://t.co/jLI6Klx1U3 50 Coisas no Aliexpress por menos de 1,00 dólar com frete",PirucaV
2,2016-12-31 23:58:05+00:00,815346320756109313,"""'Dolar'ın 3,50-3,20 seviyelerine geri çekilmesi mümkün'""   #gündem #güncel #haber #news #türkiye www.sahibin... https://t.co/zY2deyskW7",724ensonhaber
3,2016-12-31 23:57:54+00:00,815346273901576194,@icmp_0 @Madzelo ya no hablan de dólar atrasado y que es otro producto de la economía que debe acompañar a la inflación. Magia.,adiospipino
4,2016-12-31 23:57:06+00:00,815346070771421185,@_ktyGarcia cuantos dan por el dolar?,Alex10Godoy
5,2016-12-31 23:56:59+00:00,815346040996040704,@mariaelena_sh Dólar.,danielgmar
6,2016-12-31 23:55:51+00:00,815345758962647040,@adiospipino @Madzelo Tampoco entendí lo del dólar estable. Empezó el año en 13 y ya pasó los 16.,icmp_0
7,2016-12-31 23:53:41+00:00,815345213698752512,@ladriguruok dolar y comprar pesos uru con los dolares.,sbassi
8,2016-12-31 23:53:29+00:00,815345162398433281,#elinsurgente El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/KqGTBPWAeN  #MeChocaQue,NaomiGranado
9,2016-12-31 23:53:26+00:00,815345148762660864,@partydafer fernandynha feliz ano novo miga muita saúde muito dólar e menos olho gordo pra cima do teu macho bjs bestie https://t.co/6fHCt54N3Z,xpeehdroox
10,2016-12-31 23:53:15+00:00,815345102340190208,Karşımda görsem dolar gözlerim,esraydn14
11,2017-01-01 23:55:03+00:00,815707941630341120,"Con el precio del dólar, vean las opciones que habrá para festivalear en México este año: https://t.co/Pn2sO6L4Mr https://t.co/URo4PEzNg2",FILTERMexico
12,2017-01-01 23:54:16+00:00,815707746368503808,"Por dólar caro, las tiendas de Tucson se ponen las pilas con ofertas @VamosaTucson @InformativoET https://t.co/4kjU6NLBqV",theHyggeFoodie
13,2017-01-01 23:53:06+00:00,815707454323458049,elemprendedorve: Los lentes de un dólar que revolucionaron África + fotos https://t.co/qJ4Nhh0wB8 https://t.co/RnFLzLBotQ,JesusCasiqueM
14,2017-01-01 23:51:06+00:00,815706948633055232,"Dolar en México al dia: 01/01/2017, 4:51 pm: Ixe: Compra $19.50 - Venta $20.90 HSBC: Compra… https://t.co/OU6OuRA0kc",DolarEnMexico
15,2017-01-01 23:50:06+00:00,815706696798601216,Dólar comienza el año en 3164 Bs y sin billetes nuevos https://t.co/zPxhNiHKM5,rozapa
16,2017-01-01 23:50:01+00:00,815706678192504833,Los lentes de un dólar que revolucionaron África + fotos https://t.co/vKVcRALtJU https://t.co/6IdJvxgFhn,elemprendedorve
17,2017-01-01 23:49:07+00:00,815706448428679168,#oyunagelmiyoruz amaçları hükümeti sallamak. Devalüasyonla enflasyonla milleti soyamadılar. Anayasa fırlattı dolar fırladı. Şimdi 1 krş oyna,STARTWWWW
18,2017-01-01 23:48:25+00:00,815706274373521409,#elinsurgente El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/hcZ8XO9UgK ... by #alexander_padrn via @c0nvey,LeoLeobardo2
