,Tweet Id,Datetime,Text,Username,,Text PT 2 final
0,815346692216291328,2016-12-31 23:59:34+00:00,A mi el dolar no me afecta porque de todos modos no iba a estrenar.,jjmalaguera,To me the dollar does not affect me because anyway it was not brand new.,To Me The Dollar Does Not Affect Me Because Anyway It Was Not Brand New.
1,815346369359708160,2016-12-31 23:58:17+00:00,"Gostei de um vídeo @YouTube de @jully_cherry https://t.co/jLI6Klx1U3 50 Coisas no Aliexpress por menos de 1,00 dólar com frete",PirucaV,Gostei of UM video @youtube by @jully_cherry https://t.co/jli6klx1u3 50 coiss no aliexpress for less than $ 1.00 COM FRETE,I liked a video @youtube by @jully_cherry https://t.co/jli6klx1u3 50 Coiss on Aliexpress for Less Than $ 1.00 with freight
2,815346320756109313,2016-12-31 23:58:05+00:00,"""'Dolar'ın 3,50-3,20 seviyelerine geri çekilmesi mümkün'""   #gündem #güncel #haber #news #türkiye www.sahibin... https://t.co/zY2deyskW7",724ensonhaber,"""Dollar'ın 3,50-3,20 Seviyelerine Geri Çekilmesi Mümkün '"" # Gündem # Güncel #haber #news # türkiye www.sahibin ... https://t.co/zy2deyskw7","""Dollar'ın 3.50-3.20 Sevyelerine Geri Çekilmesi Mümkün '"" # Gündem # Güncel #Haber #News # Türkiye www.sahibin ... https://t.co/zy2deyskw7"
3,815346273901576194,2016-12-31 23:57:54+00:00,@icmp_0 @Madzelo ya no hablan de dólar atrasado y que es otro producto de la economía que debe acompañar a la inflación. Magia.,adiospipino,@ ICMP_0 @Madzelo no longer speak of delayed dollar and that it is another product of the economy that must accompany inflation. Magic.,@ ICMP_0 @Madzelo No Longer Speak of Delayed Dollar and That Is Is Another Product of the Economy That Must Accompany Inflation. Magic.
4,815346070771421185,2016-12-31 23:57:06+00:00,@_ktyGarcia cuantos dan por el dolar?,Alex10Godoy,@_ktygarcia how many give for the dollar?,@_ktygarcia How Many Give for The Dollar?
5,815346040996040704,2016-12-31 23:56:59+00:00,@mariaelena_sh Dólar.,danielgmar,@mariaelena_sh dollar.,@mariaelena_sh dollar.
6,815345758962647040,2016-12-31 23:55:51+00:00,@adiospipino @Madzelo Tampoco entendí lo del dólar estable. Empezó el año en 13 y ya pasó los 16.,icmp_0,@Adiospipino @Madzelo I did not understand the stable dollar either. He began the year in 13 and passed the 16.,@Adiospipino @madzelo i did not understand the stable dollar either. He Began The Year In 13 and Passed The 16.
7,815345213698752512,2016-12-31 23:53:41+00:00,@ladriguruok dolar y comprar pesos uru con los dolares.,sbassi,@LadrigoruoBo Dollar and buy Uru pesos with the dollars.,@Ladrigoruobo Dollar and Buy Uru Weights with the dollars.
8,815345162398433281,2016-12-31 23:53:29+00:00,#elinsurgente El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/KqGTBPWAeN  #MeChocaQue,NaomiGranado,#elinsurgent the strong dollar will benefit dental tourism in mexico https://t.co/kqgtbpwaen #mechococaque,#Elinsurgent The Strong Dollar Will Benefit Dental Tourism in Mexico https://t.co/kqgtbpwaen #mechocock
9,815345148762660864,2016-12-31 23:53:26+00:00,@partydafer fernandynha feliz ano novo miga muita saúde muito dólar e menos olho gordo pra cima do teu macho bjs bestie https://t.co/6fHCt54N3Z,xpeehdroox,@Partydafer Fernandynha Happy Ano Novo Miga Muita Saúde Muito Dollar E Less Olho Fat Pra Cima do Teu Male Bjs Bestie https://t.co/6fhct54n3z,@Partydafer fernandynha happy new year miga lots of health very dollar and less eye fat on top of your male bjs bestie https://t.co/6FHCT54N3Z
10,815345102340190208,2016-12-31 23:53:15+00:00,Karşımda görsem dolar gözlerim,esraydn14,Karşımda Görsem Dolar Gözlerim,Karşımda GörseM Dolar Gözlerim
11,815707941630341120,2017-01-01 23:55:03+00:00,"Con el precio del dólar, vean las opciones que habrá para festivalear en México este año: https://t.co/Pn2sO6L4Mr https://t.co/URo4PEzNg2",FILTERMexico,"With the price of the dollar, see the options that will be for festival in Mexico this year: https://t.co/pn2so6l4mr https://t.co/uro4pezng2","With the Price of the Dollar, See the options that will be for festival in mexico this year: https://t.co/pn2so6l4mr https://t.co/uro4pezng2"
12,815707746368503808,2017-01-01 23:54:16+00:00,"Por dólar caro, las tiendas de Tucson se ponen las pilas con ofertas @VamosaTucson @InformativoET https://t.co/4kjU6NLBqV",theHyggeFoodie,"For Caro Dollar, Tucson stores put the batteries with offers @Vamosatucon @InFormathet https://t.co/4kju6nlbqv","For Dollar, Tucson Stores Put The Batteries With Offers @vamosatucon @Informathet https://t.co/4kju6nlbqv"
13,815707454323458049,2017-01-01 23:53:06+00:00,elemprendedorve: Los lentes de un dólar que revolucionaron África + fotos https://t.co/qJ4Nhh0wB8 https://t.co/RnFLzLBotQ,JesusCasiqueM,Elemprendorve: One dollar lenses revolutionized Africa + Photos https://t.co/qj4nhh0wb8 https://t.co/rnflzlbotq,ElrePrendorve: One Dollar Lenses Revolutionized Africa + photos https://t.co/qj4nh0wb8 https://t.co/rnflzlbotq
14,815706948633055232,2017-01-01 23:51:06+00:00,"Dolar en México al dia: 01/01/2017, 4:51 pm: Ixe: Compra $19.50 - Venta $20.90 HSBC: Compra… https://t.co/OU6OuRA0kc",DolarEnMexico,"Dollar in Mexico a day: 01/01/2017, 4:51 pm: IXE: Buy $ 19.50 - Sale $ 20.90 HSBC: purchase ... https://t.co/ou6oura0kc","Dollar in Mexico to Day: 01/01/2017, 4:51 PM: IXE: Buy $ 19.50 - Sale $ 20.90 HSBC: Purchase ... https://t.co/ou6oura0kc"
15,815706696798601216,2017-01-01 23:50:06+00:00,Dólar comienza el año en 3164 Bs y sin billetes nuevos https://t.co/zPxhNiHKM5,rozapa,Dollar begins the year at 3164 BS and no new tickets https://t.co/zpxhnihkm5,Dollar Begins The Year at 3164 BS AND NO NEW TICKETS https://t.co/zpxhnihkm5
16,815706678192504833,2017-01-01 23:50:01+00:00,Los lentes de un dólar que revolucionaron África + fotos https://t.co/vKVcRALtJU https://t.co/6IdJvxgFhn,elemprendedorve,One dollar lenses revolutionized Africa + photos https://t.co/vkvcraltju https://t.co/6idjvxgfhn,One Dollar Lenses Revolutionized Africa + photos https://t.co/vkvcraltju https://t.co/6idjvxgfhn
17,815706448428679168,2017-01-01 23:49:07+00:00,#oyunagelmiyoruz amaçları hükümeti sallamak. Devalüasyonla enflasyonla milleti soyamadılar. Anayasa fırlattı dolar fırladı. Şimdi 1 krş oyna,STARTWWWW,#oyunagelmiyoruz Amaçları Hükümeti Sallamak. Devalüasyonla EnfaSyonla Milleti Symbol. Anayasa Fırlattı Dollar Fırladı. Şimdi 1 Krş Oyna,#oyUnagelmiyoRuz Amaçarları Hükümeti Sallamak. Devaluasyonla Affushonla Milleti Symbol. Anayasa Fırlattı Dollar Fırladı. Şimdi 1 Krş Oyna
18,815706274373521409,2017-01-01 23:48:25+00:00,#elinsurgente El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/hcZ8XO9UgK ... by #alexander_padrn via @c0nvey,LeoLeobardo2,#elinsurgent the strong dollar will benefit dental tourism in Mexico https://t.co/hcz8xo9ugk ... by #alexander_padrn via @ c0nvey,#Elinsurgent The Strong Dollar Will Benefit Dental Tourism in Mexico https://t.co/hcz8xo9ugk ... by #alexander_padrn via @ C0Nvey
19,815705752543367168,2017-01-01 23:46:21+00:00,Por qué el dólar blue sigue fuerte y se agranda la brecha con el oficial. https://t.co/qjRAQ9mrrs,DanielScandizzo,Why the Blue Dollar remains strong and enlarges the gap with the officer. https://t.co/qjraq9mrrs.,Why the Blue Dollar Remains Strong and Enlarges The Gap With The Officer. https://t.co/qjraq9mrrs.
20,815705611924930561,2017-01-01 23:45:47+00:00,"@XxGraffysxX @Gameplanet_Mex el wii u siempre estuvo en 6000, apenas subió el dólar y ya no bajo de 7,000",benjito33,"@Xxgraffysxx @gameplanet_mex The Wii U was always at 6000, barely rose the dollar and no longer low of 7,000","@Xxgrafysxx @gameplanet_mex the wii u was always at 6000, barely rose the dollar and no longer low of 7,000"
21,815705537572704256,2017-01-01 23:45:29+00:00,"3 años sin sueldo que afecta directamente a mi familia, destituído 34 años de servicio sin haber robado un dolar y perjudicado a nadien",ParraCedill,"3 years without salary that directly affects my family, dismissed 34 years of service without having stolen a dollar and injured Nadien","3 Years Without Salary That Directly Affects My Family, Dismissed 34 Years Of Service Without Having Stolen A Dollar And Injured Nadien"
22,816071551397269504,2017-01-02 23:59:54+00:00,#NCDN  Banco Central intervendrá mercado de divisa por alza del dólar https://t.co/Z2Um0Awzrw,CDN37,#NCDN Central Bank will intervene currency market for the dollar hunt https://t.co/Z2UM0AWZRW,#Ncdn Central Bank Will Intervene Currency Market for the Dollar Hunt https://t.co/Z2um0Awzrw
23,816071335050940416,2017-01-02 23:59:02+00:00,#elinsurgente  #MeChocaQue El dolar fuerte beneficiara al turismo dental en Mexico https://t.co/KtefhuJBdk,dorikasprzyk1,#elinsurgente #Mechocaque the strong dollar will benefit dental tourism in Mexico https://t.co/ktefhujbdk,#Elinsurgente #Mechocaque The Strong Dollar Will Benefit Dental Tourism in Mexico https://t.co/ktefhujbdk
24,816071207292313600,2017-01-02 23:58:32+00:00,@alanxelmundo @WaltDisneyWorld con el dolar tam caro?,cheps21,@alanxelmundo @waltdisneyworld with the dollar tam expensive?,@alanxelmundo @waltdisneyworld with the dollar tam expensive?
25,816071165651329024,2017-01-02 23:58:22+00:00,@de_ZuRii @csgolive hi zuri my grandpa die and skin make me happy can i have one please i losed like 4000 dolar yesterday PLS i love you!1,MattSeesAss,@De_Zurii @csgolive Hi Zuri My Grandpa Die and Skin Make Me Happy Can I Have One Please I Losed Like 4000 Dolar Yesterday Pls I Love You! 1,@De_zurii @csgolive hi zuri my grandpa die and skin make me happy can i have one please i losed like 4000 dollar yesterday pls i love you! 1
